Temp,"HSN(Al,Al)@fcc","HSN(Ti,Ti)@fcc","HSN(Al,Ti)@fcc"
1392,623070,558678,236130
1393,621592,558664,236141
1394,620118,558650,236151
1395,618647,558636,236162
1396,617179,558623,236174
1397,615714,558610,236186
1398,614252,558597,236198
1399,612793,558585,236211
1400,611338,558574,236223
1401,609886,558562,236237
1402,608436,558552,236250
1403,606991,558541,236264
1404,605548,558531,236279
1405,604108,558521,236293
1406,602672,558512,236308
1407,601239,558503,236324
1408,599809,558495,236340
1409,598382,558487,236356
1410,596959,558480,236373
1411,595539,558472,236390
1412,594122,558466,236407
1413,592709,558460,236425
1414,591299,558454,236443
1415,589892,558449,236461
1416,588488,558444,236480
1417,587088,558439,236499
1418,585691,558435,236519
1419,584298,558432,236539
1420,582908,558429,236560
1421,581521,558426,236580
1422,580138,558424,236602
1423,578758,558423,236623
1424,577381,558422,236645
1425,576008,558421,236668
1426,574639,558421,236691
