Temp,Al@fcc,Ti@fcc,Al@liq,Ti@liq
1633,0.0301922,0.119618,0.0226003,0.134696
1634,0.0305428,0.118929,0.0229391,0.133933
1635,0.0309016,0.118232,0.0232867,0.133162
1636,0.031269,0.117528,0.0236432,0.132382
1637,0.0316451,0.116816,0.024009,0.131595
1638,0.03203,0.116096,0.0243843,0.1308
1639,0.0324239,0.115368,0.0247693,0.129996
1640,0.032827,0.114632,0.0251643,0.129183
1641,0.0332394,0.113887,0.0255696,0.128361
1642,0.0336613,0.113133,0.0259853,0.12753
1643,0.0340928,0.11237,0.0264116,0.126689
1644,0.034534,0.111599,0.0268489,0.125839
1645,0.0349851,0.110817,0.0272973,0.124978
1646,0.0354461,0.110027,0.0277571,0.124107
1647,0.0359172,0.109226,0.0282285,0.123226
1648,0.0363984,0.108415,0.0287116,0.122333
1649,0.0368897,0.107593,0.0292066,0.121429
1650,0.0373912,0.106761,0.0297137,0.120513
